a	b	c	d	e	f	g	h	i	j
1002	8.8	1.18	1.6	7.17	3.89	26.62	16.6	0.94	5.96	11.84
1003	3.78	14.56	1.3	2.18	6.64	26.19	2.63	6.09	30.62	2.29
1004	25.17	4.95	4.66	1.33	7.7	31.42	28.23	5.34	8.34	5.96
1005	1.53	2.1	6.63	1.07	20.81	10.83	2.36	8.41	28.69	7.44
1006	1.31	1.42	3.53	24.03	3.22	1.62	23.62	15.57	11.66	3.31
1007	5.74	2.53	6.71	10.45	5.36	20.14	17.61	2.39	11.26	4.56
1008	9.35	24.14	1.77	8.17	30.69	15.35	2.04	1.85	10.52	2.09
1009	17.26	6.18	7.33	3.68	1.48	2.61	2.2	2.14	1.9	15.38
1010	7.99	3.31	17.33	6.48	4.18	10.62	2.52	14.39	16.01	15.52
1011	24.38	21.28	7.82	5.3	3.52	3.02	1	1.5	3.53	27.11
1012	5.56	2.68	1.13	2.6	19.74	31.82	5.14	12.11	12.64	8.65
1013	1.36	2.19	2.24	3.89	27.9	3.11	1.8	1.54	12.71	22.12
1014	28.01	2.7	2.66	2.3	4.36	4.89	4.37	1.35	14.66	2.46
1015	4.33	22.27	8.22	11.33	16.78	4.07	2.95	1.22	10.06	5.69
1016	24.95	1.9	7.71	28.33	3.04	4.14	5	5.51	12.12	6.59
1017	16.58	1.67	3.12	1.59	2.61	5.83	1.69	31.04	9.53	27.45
1018	2.8	1.42	6.86	8.65	8.02	16.14	8.19	27.66	19.15	7.37
1019	1.54	22.84	1.51	29.12	16.01	4.71	1.18	2.26	3.39	20.3
1020	2.59	1.11	16.1	0.96	22.75	21.93	2.47	8.23	3.78	26.56
1021	0.92	1.2	6.8	2.94	15.65	2.08	3.13	18.06	4.82	1.2
1022	19.99	14.55	14.59	7.44	21.23	4.97	1.57	4.73	1.05	14.39
1023	1.97	7.21	1.52	3.58	1.16	21.79	29.69	1.54	3.32	7.05
1024	17.68	2.54	2.2	9.94	12.25	9.03	11.52	24.82	16.9	1.5
1025	1.91	1.45	4.43	2.41	19.67	3.46	23.47	1.75	18.77	15.96
1026	15.86	12.77	5.36	2	1.62	10.65	2.6	5.76	2.16	1.3
1027	5.75	34.73	1.67	8.78	1.64	14.64	12.24	5.69	20.06	5.54
1028	2.53	2.42	3.72	6.1	1.07	1.46	3.76	25.24	22.24	21.79
1029	3.56	8.84	6.63	1.12	13.97	3.53	1.7	23.77	7.52	17.9
1030	12.4	15.91	15.9	14.19	8.37	3.58	1.54	21.48	6.49	29.81
1031	6.71	10.3	1.11	3	9.63	22.24	2.18	11.93	6.98	20.44
1032	5.64	3.96	8.79	1.96	2.08	20.29	2.21	1.35	2.85	2.06
1033	3.81	28.78	16.26	4.12	13.61	1.56	4.49	2.15	9.63	9.76
1034	30.2	19	1.19	3.44	32.17	15.36	1.59	2.36	22.27	4.18
1035	10.39	12.47	9.26	3.57	2.82	7.22	20.68	9.44	14.95	9.65
1036	1.81	11.64	1.15	1.98	4.85	15.67	13.13	1.77	23.88	1.87
1037	3.82	5.18	14.53	26.53	2.01	1.25	11.27	1.35	15.98	3.84
1038	5.66	1.03	9.29	1.99	2.72	1.31	2.38	5.36	6.06	1.3
1039	18.65	16.33	27.35	16.75	17.02	3.08	1.09	23.3	15.25	10.9
1040	1.65	1.35	5.02	4.64	4.19	28.73	3.47	8.46	0.92	7.82
1041	2.25	7.32	3.38	9.1	2.88	5.36	17.01	19.08	28.29	1.41
1042	2.07	10.05	3.6	3.04	2.84	4.14	8.34	1.41	19.98	12.19
1043	9.32	15.75	7.17	1.41	2.16	4.7	16.72	6.44	29.51	4.97
1044	5.65	14.62	1.02	2.56	5	29.39	3.37	8.21	10.8	6
1045	2.02	12.07	2.55	9.97	31.55	2.24	4.89	8.94	5.68	2.14
1046	3.82	4.87	14.28	1.43	13.69	3.73	2.51	3.19	2.71	5.53
1047	6.54	7.74	12.02	15.16	3.28	1.57	2.01	2.87	10.45	12.46
1048	2.97	21.54	3.04	1.36	10.82	3.44	15.63	3.15	1.85	4.62
1049	5.89	4.25	2.78	2.68	27	2.97	1.13	9.68	29.41	3.45
1050	25.32	32.43	0.98	1.47	2.96	13.16	7.68	1.44	25.94	6.1
1051	0.9	12.36	20.25	6.97	2.5	20.87	9.28	9.78	1.03	11.89
1052	6.23	3.37	10.54	2.57	2.07	11.92	22.72	1.48	9.72	4
1053	4.38	16.85	12.6	10.21	11.9	4.75	1.1	1.01	1.09	26.72
1054	23.17	11.72	19.74	1.87	12.51	1.14	2.54	2.62	27.19	1.67
1055	24.64	6.45	4.96	7.62	4.49	3.24	14.36	5.79	22.33	1.11
1056	1.45	0.97	22.08	19.28	1.77	12.64	1.57	12.08	4.68	1.2
1057	13.92	33.74	7.15	2.56	1.08	2.56	7.16	7.83	1.29	1.4
1058	3.91	4.6	6.05	1.2	15.61	27.24	2.52	3.21	8.44	30.48
1059	8.27	6.04	2.94	15.05	6.84	4.38	2.26	1.5	25.98	21.18
1060	1.07	1.94	13.34	22.75	4.24	7.27	30.02	2.72	2.31	5.23
1061	1.34	1.26	5.99	4.76	28.22	2.27	2.58	10.74	30.26	22.12
1062	22.39	1.8	2.47	22.75	8.35	12.55	2.24	22.15	3.98	11.05
1063	22.09	3.28	4.27	12.79	16.54	6.37	8.94	24.3	2.92	5.29
1064	1.43	2.72	6.86	15.25	17.18	15.05	21.93	2.79	25.76	29.72
1065	6.75	27.24	1.34	20.21	8.27	1.72	5.67	17.57	3.72	2.15
1066	23.1	7.48	19.11	1.5	1.16	2.55	17.26	5.48	3.76	30.55
1067	3.48	23.71	7.77	1.11	6.95	3.54	22.42	1.02	1.1	1.32
1068	1.56	12.22	13.95	2.85	13.61	14.7	1.36	2.07	6.1	2.02
1069	26.36	5.31	1.95	15.56	2.03	17.71	5.88	24.09	5.98	22.32
1070	6.26	10.13	9.51	8.73	5.9	3.67	5.48	15.54	1.19	3.67
1071	2.32	3.21	4.47	13.98	9.39	2.22	4.62	2.32	3.92	21
1072	1	27.55	1.43	7.53	13.29	11.45	1.84	1.98	1.96	1.23
1073	9.35	26.66	3.96	6.04	2.05	2.84	2.59	9.69	13.13	16.93
1074	4.07	1.58	18.8	2.1	19.32	25.59	16.45	3.57	3.21	13.81
1075	20.73	3.76	5.68	25.57	17.04	26.73	1.45	18.03	18.08	1.22
1076	5.32	17.99	9.19	3.72	9.99	3.67	1.86	3.75	12.14	3.86
1077	13.95	21.83	3.62	2.95	8.25	17.74	2.5	1.48	8.28	1.37
1078	1.15	0.82	12.67	28.77	8.33	2.24	0.99	3.35	4.3	2.86
1079	3.39	11.9	3.12	2.97	28.22	14.21	4.29	27.74	2.36	1.25
1080	4.09	1.16	9.78	1.92	1.05	5.03	3.28	2.27	14.79	3.2
1081	2.77	6.99	1.9	1.43	1.95	2.62	3.02	9.97	1.22	1.68
1082	3.07	5.59	25.09	2.29	4.85	21.24	5.77	1.17	2.72	3.7
1083	10.21	5.26	19.94	5.93	9.73	3.74	2.52	8.12	11.45	1.8
1084	0.99	2.32	5.44	2.31	10.04	26.67	5.23	12.03	1.99	20.62
1085	10.32	1.96	17.58	5.98	2.49	3.17	26.09	2.36	12.77	2.48
1086	18.88	16.69	4.25	12.08	5.34	13.05	14.27	21.6	9.73	2.48
1087	5.8	27.17	7.8	1.78	15.14	20.22	26.74	11.63	2.16	18.58
1088	1.24	7.47	6.31	21.88	5.54	1.98	2.85	4.67	13.59	7.22
1089	24.19	1.97	5.96	14	19.57	1.81	13.36	8.47	3.7	10.2
1090	4.03	1.21	1.62	23.36	4.72	3.04	17.92	8.07	2.62	21.55
1091	5.21	11.73	18.22	13.8	5.98	1.59	5.42	1.69	19.92	1.53
1092	12.45	1.41	1.83	28.45	1.34	3.51	13.42	33.77	18.29	9.06
1093	2.26	2.63	8.79	5.29	2.31	6.01	2.44	23.37	2.52	15.87
1094	2.75	26.01	2.95	1.23	15.63	12.65	26.59	1.1	1.73	9.47
1095	10.55	1.44	1.79	14.53	3.03	4.22	1.52	1.12	6.89	1.17
1096	14.84	2.38	18.34	12.79	16	1.89	4.3	23.39	8.41	2.11
1097	1.04	1.27	6.9	16.72	22.34	11.92	3.65	24.31	1.59	2.55
1098	7.02	1.47	7.2	2.48	8.56	20.26	5.86	13.87	13.77	3.45
1099	9.06	35.79	27.02	1.01	21.09	2.48	1.41	1.41	1.8	1.43
1100	20.03	8.11	2.6	27.38	2.23	2.25	31.01	1.8	3.11	3.28
1101	10.57	9.37	3.82	1.69	1.45	3.96	5.47	2.1	7.63	4.11
1102	2.13	2.41	4.45	3.88	2.65	13.25	20.13	1.34	12.44	1.09
1103	4.07	11.82	8.88	13.07	5.81	1.7	25.32	14.96	1.8	2.64
1104	1.42	1.78	7.02	1.14	1.26	5.08	2.6	3.01	30.62	17.85
1105	1.61	18.64	5.17	26.15	14.06	1.63	1.71	1.55	0.96	1.29
1106	8.62	2.22	2.41	7.33	6.54	8.18	14.33	16.07	6.42	17.75
1107	2.43	22.22	1.72	1.17	30.3	20.33	5.98	5.57	26.63	15.85
1108	4.51	33.57	2.94	5.08	1.25	6.46	18.56	11.91	1.54	1.64
1109	23.07	4.9	1.81	33.3	4.93	7.56	5.08	5.41	6.89	8.97
1110	3.06	4.4	17.07	28.33	11.37	8.02	6.41	1.22	12.46	3.44
1111	2	16.55	15.75	5.73	5.44	3.69	2.43	4.05	5.9	4.77
1112	12.49	21.64	8.68	4.43	2.54	1.54	11.69	2.34	3.62	13.45
1113	0.89	2.74	15.75	3.27	7.01	3.66	5.17	5.21	7.36	18.02
1114	10.6	1.63	5.39	4.71	26.1	1.26	1.76	8.62	7.05	1.99
1115	12.56	31.53	10.74	1.77	2.66	7.84	6.42	1.59	15.22	4.48
1116	5.22	3.13	1.64	1.45	1.09	3.14	4.08	26.99	6.89	7.08
1117	3.1	25.19	1.54	9.85	1.35	32.01	23.28	1.58	2.08	18.89
1118	12.2	5.37	3.37	2.02	1.53	11.49	10.27	22.86	2.74	22.23
1119	2.66	7.21	1.78	3.37	13	9.36	18.8	4.09	4.91	0.94
1120	17.18	14.86	10.08	8.12	30.88	1.08	9.91	11.78	1.92	2.96
1121	1.31	14.51	1.23	20.11	6.21	3.58	3.32	1.43	4.57	1.82
1122	14.79	3.61	1.92	1.31	32.3	1.53	3.15	3.28	3.09	2.9
1123	5.1	2.25	10.03	2.06	3.64	1.13	4.74	26.19	6.2	17.87
1124	18.62	1.22	2.61	1.19	1.17	24.1	32.25	4.99	1.16	2.18
1125	11.93	24.09	2.39	10.97	1.37	2.86	30.58	7.11	1.07	33.57
1126	24.53	3.11	13.42	19.47	4.59	11.18	19.06	1.26	3.06	12.69
1127	2.26	1.21	25.67	18.42	5.03	3.71	2	19.65	14.94	14.74
1128	4.52	1.42	3.81	1.1	6.54	1.79	26.01	23.07	28.27	6.18
1129	2.43	1.55	4.28	1.84	10.35	6.6	14.34	4.05	8.4	4.2
1130	2.86	1.83	1.89	5.35	1.88	15.39	9.52	13.2	1.81	7.84
1131	21	21.28	1.21	10.92	11.87	20.17	5.51	1.22	4.16	6.92
1132	1.67	22.98	2.63	16.32	11.81	5.67	6.23	2.51	15.2	3.41
1133	4.27	34.06	2.59	1.47	27.01	15.12	1.29	11.25	1.75	25.06
1134	4.32	6.98	32.39	1.78	7.41	19.41	3.05	4.37	19.34	1.31
1135	4.98	24.52	2.71	6.68	20.97	21.18	1.7	10.27	10.08	3.13
1136	1.99	27.07	10.61	11.87	2.97	2.93	6.14	7.04	10.16	5.2
1137	2.1	19.93	11.71	9.39	1.67	9.6	2.69	1.36	30.51	8.95
1138	9.37	3.55	1.01	18.31	13.32	1.19	1.91	1.44	3.65	3.49
1139	19.02	3.96	2.73	3.61	2.26	3.13	4.08	21.88	7.47	14.16
1140	4	2.81	13.51	22.53	2.2	5.33	4.23	1.58	1.81	13.48
1141	1.91	20.13	6.8	1.74	10.95	6.64	26.41	2.09	15.68	17.88
1142	2.63	23.14	3.36	7.36	29.09	9.24	1.31	2.18	14.98	18.29
1143	17.9	16.09	1.17	1.86	11.64	13.75	10.72	2.12	3.68	24.85
1144	2.02	21.78	33.04	5.71	17.65	2.46	1.55	11.04	1.59	31.47
1145	14.39	6.93	9.3	30.85	2.64	2.73	29.74	1.07	13.73	20.27
1146	5.2	19.14	2.57	2.08	3.66	7.54	1.19	1.75	8.06	2.54
1147	2.98	4.84	22.71	9.24	0.98	10.85	27.95	8.89	10.07	7.59
1148	2.71	23.37	4.74	2.02	8.6	1.18	14.12	18.87	8.95	16.36
1149	17.15	24.77	10.85	7.22	1.56	1.49	2.81	4.25	7.2	1.31
1150	1.65	13.89	21.72	1.05	16.26	8	9.36	2.05	23.83	14.02
1151	18.12	1.32	1.57	1.54	2.66	1.8	3.6	1.64	10.6	5.19
1152	1.31	2.38	20.22	21.95	8.34	3.67	17.7	20.54	7.12	13.6
1153	11.01	21.95	6.23	2.05	1.76	2.42	2.09	2.75	12.74	18.36
1154	18.76	3.5	10.75	4.98	1.17	3.18	1.49	29.23	11.5	1.77
1155	27.9	5.33	18.44	1.56	10.31	22.69	3.81	6.89	3.42	1.51
1156	2.32	1.49	1.28	23.09	14.21	9.78	10.12	9.41	8.34	1.76
1157	1.19	14.42	19.67	1.86	1.83	6.78	12.98	1.59	12.02	2.06
1158	2.05	6.38	13	9.75	2.44	3.16	10.05	2.54	1.76	4.91
1159	1.29	25.41	9.03	24.96	3.33	3.37	5.7	1.91	11.62	29.04
1160	3.71	24.11	5.69	21.55	3.29	3.82	2.17	1.72	18.06	3.89
1161	1.35	3.41	3.21	10.47	2.19	26.87	9.54	10.55	1.42	1.43
1162	3.3	4.05	5.64	2.75	6.94	9.61	6.16	3.56	7.22	1.93
1163	7.7	13.18	20.18	10.7	1.54	3.39	3.18	1.05	10.11	3.54
1164	2.89	26.05	7.5	2.71	1.26	1.27	2.65	14.68	1.04	3.47
1165	28.25	3.79	3.93	5.96	18.38	1.43	9.35	7.54	1.64	1.11
1166	4.15	1.16	2.84	1.6	18.15	25.31	1	7.55	12.08	1.18
1167	28.5	16.29	1.65	3.93	2.34	6.91	2.73	14.96	8.03	4.14
1168	2.86	0.83	6.96	2.39	1.79	15.88	2.8	9.47	3.79	25.74
1169	10.09	5.45	8.22	1.74	6.95	5.1	12.15	1.66	4.56	2.66
1170	1.56	1.5	10.78	11.19	6.39	22.96	21.57	7.76	23.35	2.63
1171	20.08	3.28	12.45	27.83	7.6	4.11	27.15	2.79	2.18	13.05
1172	15.51	15.95	2	5.42	10.78	1.11	2.74	1.23	1.09	0.83
1173	5.75	1.78	1.52	14.58	10.29	2.73	9.92	4.11	1.78	2.73
1174	5.39	10.66	1.75	26.89	21.11	16.35	2.85	1.9	4.61	7.17
1175	10.53	4.04	1.03	13.89	9.19	15	22.53	24.89	26.26	2.89
1176	1.49	3.08	2.03	4.31	2.87	15.28	10.3	5.88	1.29	28.68
1177	8.85	5.73	3.73	4.28	8.3	3.7	2.63	1.13	5.53	17.65
1178	18.07	2.58	5.85	2.5	17.25	13.6	12.69	16.66	1.8	12.29
1179	1.76	25.76	12.46	16.65	14.09	9.94	9.09	2.6	3.08	5
1180	1	4.12	6.78	1.23	7.61	7.08	1.81	25.55	22.97	2.16
1181	3.77	2.33	1.98	11.49	4.1	3.1	0.84	1.52	1.15	3.36
1182	3.54	1.77	1.66	4.73	1.11	3.33	2.62	6.48	2.83	2.37
1183	5.5	11.27	1.04	4.86	25.57	13.52	30.83	9.98	26.47	4.22
1184	3.44	4.22	0.95	7.56	3.86	13.82	4.63	25.99	5.19	2.39
1185	24.82	1.72	3.26	19.95	7.88	22.54	18.61	3.65	10.73	7.74
1186	1.73	16.45	2.55	7.81	8.17	5.45	3.17	1.35	3.49	2.17
1187	1.88	4.4	2.5	13.62	7.77	2.29	12.91	5.16	2.04	7.59
1188	8.34	16.66	3.1	1.22	4.85	3.46	2.61	3.54	28.87	5.89
1189	1.24	7.24	2.31	1.2	3.81	7.46	3.47	1.82	2.44	29.52
1190	1.24	29.95	1.12	14.11	25.35	4.1	21.17	6.29	1.79	16.79
1191	16.89	1.2	4.4	2.68	13.69	6.87	7.68	8.76	8.1	1.43
1192	22.82	2.48	13.48	5.64	1.64	25.17	8.38	2.33	11.97	2.12
1193	2.48	14.3	11.69	15.79	3.59	1.12	30.74	22.36	2.92	12.65
1194	8.13	7.68	3.86	6.58	2.17	6.19	3.06	13.76	9.97	17.2
1195	2.94	4.88	1.81	1.02	5.66	1.12	12.18	9.5	30.35	28.5
1196	29.35	6.23	7.86	30.15	3.35	15.81	18.01	7.52	23.01	9.25
1197	18.59	1.25	2.78	3.3	4.72	4.55	5.37	5.5	1.51	6.77
1198	12.07	5.06	7.06	4.77	20.17	7.18	1.57	8.45	3.58	30.2
1199	2.13	1.37	20.95	3.1	5.52	31.16	2.19	12.14	1.34	17.19
1200	1.53	1.33	2.3	2.08	5.26	5.27	9.5	5.59	6.28	7.52
1201	3.56	1.51	3.27	1	22.87	21.34	1.5	16.36	2.03	1.71
1202	12.77	2.95	16.88	1.87	2.29	2.33	21.67	9.01	3.11	5.13
1203	25.42	4.43	7.68	2.84	17.79	9.03	7.49	8.48	8.24	5.05
1204	10.15	6.48	2.56	2.88	2.68	4.58	5.6	25	7.03	5.85
1205	12.98	2	1.36	15.86	25.71	2.05	3.26	9.43	8.83	1.35
1206	20.99	4.76	26.39	1.23	2.61	13.02	26.26	21.09	10.93	11.97
1207	11.97	2.98	24.34	4.17	1.18	1.39	5.9	1.33	2.86	8.94
1208	21.03	9.48	4.13	6.73	9.43	5.55	1.05	4.77	21.5	1.41
1209	4.47	23.77	1.24	1.2	7.17	9.63	7.23	1.97	9.65	22.98
1210	11.29	2.77	8.33	1.72	9.37	5.5	21.09	8.87	5.69	11.3
1211	1.82	18.18	1.7	1.99	4.48	32.16	6.5	3.55	2.21	1.32
1212	13.53	28.49	15.97	13.53	3.4	1.19	7.75	1.51	10.14	2.1
1213	1.56	6.24	0.97	26.7	9.09	1.81	12.14	2.58	6.83	4.33
1214	2.42	16.25	13.46	4.92	3.51	6.93	9.92	19	2.07	0.99
1215	4.97	29.78	2.21	20.49	21.6	1.51	4.77	30.56	12.1	1.17
1216	22.42	20.1	7.94	1.37	2.74	9.79	21.07	1.2	28.77	1.92
1217	26.77	15.77	10.68	1.78	6.62	15.08	11.27	23.82	18.49	11.55
1218	1.19	2.24	23.03	4.91	17.13	26.38	1.63	1.83	11.28	15.49
1219	8.16	1.65	14.42	5.7	2.97	26.98	5.38	22.23	1.09	3.09
1220	0.98	1.85	22.01	1.36	1.46	9.49	2.79	21.66	2.44	2.38
1221	6.18	3.41	7.22	15.56	1.78	12.86	5.94	1.34	21.06	1.16
1222	1.16	22.32	8.78	2.09	1.87	5.16	30.15	12.93	1.98	2.08
1223	8.93	1.3	2.68	14.13	30.69	3.78	25.75	29.46	14.83	29.75
1224	15.44	27.58	2.89	1.05	16.39	3.98	1.12	8.97	3.37	7.79
1225	3.29	10.58	20.1	12.28	2.05	3.13	3.02	2.29	11.04	12.08
1226	1.69	13.7	1.17	12.51	13.73	21.75	8.72	7.9	5.33	1.99
1227	1.37	11.41	15.81	3.94	1.86	5.53	7.37	3.58	6.14	2.47
1228	3.36	15.65	10.28	8.21	2.36	11.47	9.69	1.28	13.91	1.96
1229	31.3	6.93	1.18	1.01	1.64	1.61	8.32	15.91	1.17	1.64
1230	6.56	4.03	7.96	6.6	15.36	1.42	1.42	1.75	1.66	1.23
1231	3.08	4.56	2.29	22.43	3.35	3.44	14.46	1.56	9.66	1.14
1232	2.58	15.93	1.21	16.09	6.3	24.44	29.52	10.34	20.02	28.11
1233	4.13	19.81	3.53	15.36	5.3	3.37	1.94	9.31	2.76	13.35
1234	1.01	1.83	4.78	21.25	9.45	3.5	4.68	26.27	3.34	3.64
1235	1.28	1.36	17.55	3.75	23.13	29.25	17.84	4.67	3.31	1.97
1236	19.01	26.12	7.94	13.42	10.79	7.93	28.25	6.95	20.75	28.06
1237	4.37	2.69	1.78	3.27	10.9	10.05	3.35	20.78	8.52	14.4
1238	4.87	8.25	18.29	10.11	2.43	2.55	2.2	29.4	3.83	2.3
1239	3.84	8.35	9.36	3.09	1.72	22.33	26.7	10.16	2.72	5.48
1240	12.41	6.66	5.81	14.69	17.89	14.29	3.09	22.11	0.89	2.37
1241	4.01	2.67	2.41	2.94	2.15	1.75	10.08	14.43	3.01	4.84
1242	6.17	13.7	20.52	15.56	1.24	2.66	25.37	13.07	1.14	2.89
1243	0.94	13.45	22.31	17.39	6.43	2.21	10.95	1.4	5.11	6.82
1244	2.49	8.27	32.14	1.93	1.35	4.09	1.24	4.51	5.47	1.45
1245	29.47	5.72	2.38	11.87	26.47	5.53	12.72	25.18	27.68	2.35
1246	18.28	21.91	1.14	5.09	1.94	3.14	13.04	2.23	2.89	1.1
1247	24.17	6.35	4	6.37	9.55	8.56	5.88	32.53	16.44	5.67
1248	13.88	2.73	2.03	1.58	27.1	2.8	6.6	8.53	3.59	1.74
1249	12.86	23.57	10.22	19.74	23.64	2.66	1.29	16.88	2.63	2.6
1250	1.1	0.84	9.51	1.45	7.58	6.95	20.37	3.25	1.73	3.8
1251	1.44	9.69	17.24	4.08	31.84	2.02	12.37	3.68	3.39	30.1
1252	1.5	21.36	31.77	4.46	22.47	10.88	2.44	1.46	1.32	5.78
1253	15.26	2.22	11.67	2.4	1.74	0.98	1.11	6.56	14.79	4.78
1254	19.23	1.58	21.83	1.52	0.91	1.36	22.08	5.63	1.06	1.45
1255	3.35	1.14	25.25	1.01	16.07	2.03	17.88	2.73	17.77	2.21
1256	1.72	14.36	1.89	1.97	10.8	1.08	11.14	0.97	2.8	23.55
1257	3.32	21.29	5.03	5.76	1.66	1.81	2.37	5.72	16.08	3.91
1258	6.32	10.17	8.57	14.4	1.64	3.4	29.24	1.59	20.13	2.83
1259	24.22	1.37	2.78	10.18	25	22.02	3.79	30.84	3.16	6.77
1260	1.37	18.8	9.14	3.6	13.77	17.95	1.73	6.14	2.43	2.13
1261	1.34	4.38	0.86	3.05	4.31	1.88	8.76	12.75	12.32	1.64
1262	11.75	24.88	4.78	33.57	27.3	30.65	2.47	4.33	2.5	23.7
1263	3.13	14.59	2.24	11.53	4.28	6.61	17.78	1.76	1.29	13.59
1264	12.89	1.25	12.88	6.22	3.97	19.42	1.04	4.07	27.85	6.44
1265	2.38	1.75	5.62	8.16	9.41	12.3	5.23	10.32	17.08	8.79
1266	3.63	33.14	3.76	22.61	1.95	6.3	8.18	4.59	8.49	1.85
1267	6.5	20.6	4.89	1.49	16.69	4.14	5.56	3.63	10.7	3.48
1268	26.91	1.24	2.8	18.15	3.3	1.08	6.41	22.63	6.23	14.26
1269	1.19	7.65	1.08	20.08	33.96	1.11	17.89	9.77	9.31	22.67
1270	3.09	19.97	28.27	25.2	2.38	8.74	1.72	12.9	1.73	2.37
1271	2.57	2.31	5.59	21.17	11.72	13.85	7.83	5.11	14.47	1.87
1272	4.15	2.29	3.15	20.86	1.19	10.22	2.98	11.94	9.09	1.82
1273	12.42	27.85	3.59	3.36	11.57	19.73	1.96	14.21	2.23	2.99
1274	18.23	6.59	4.97	6.23	1.9	4.78	17.12	15.05	16.56	14.3
1275	8.74	2.12	6.73	8.01	7.32	2.56	2.04	9.15	18.06	4.6
1276	12.37	13.49	3.99	2.26	4.93	2.69	1.31	8.81	11.68	7.22
1277	1.63	5.27	11.31	6.83	7.13	4.95	20.63	9.48	3.69	3.86
1278	14.35	2.57	8.66	3.73	4.3	10.93	1.64	15.28	7.2	2.94
1279	12.77	17.42	3.99	15.59	1.21	5.52	17.55	11.3	1.65	30.45
1280	26.83	11.06	0.95	5.4	12.86	1.6	1.76	4.96	6.64	16.61
1281	0.87	3.15	27.03	1.9	1.2	10.77	17.61	12.31	14.47	16.92
1282	7.85	1.26	8.07	1.14	24.57	1.34	1.23	2.36	3.24	3.65
1283	3.88	1.16	8.01	7.81	29.21	8.28	1.35	2.35	6.97	6.95
1284	12.52	1.28	4.59	8.96	8.12	5.84	14.51	12.23	5.68	1.46
1285	12.61	1.48	11.88	8.96	7.39	1.94	1.33	1.27	13.48	4.08
1286	2.44	1.82	4.98	1.05	25.54	8.27	6.3	4.12	1.64	1.05
1287	2.76	1.98	1.15	2.93	22.46	1.06	5.75	2.18	4.48	2.06
1288	10.05	5.88	8.2	13.45	1.86	2.42	19.93	4.66	1.17	6.45
1289	5.49	2.8	3.02	5.71	7.4	1.21	1.57	27.43	2.25	13.48
1290	3.67	3.94	7.94	10.89	1.88	1.7	5.97	5.82	19.96	1.49
1291	1.05	16.72	3.21	0.85	18.99	9.76	3.17	16.61	28.87	3.99
1292	21.62	10.96	14.88	1.74	13.55	1.33	3.38	6.02	12.61	15.1
1293	15.32	1.43	18.07	1.84	23.67	9.94	1.55	1.73	1.35	1.06
1294	4.34	16.65	3.76	3.94	5.46	1.02	2.17	14.07	2.31	11.8
1295	1.15	10.37	1.66	16.06	8.02	2.05	5.87	2.07	1.93	8.2
1296	6.85	24.59	3.56	11.01	9.11	4.89	10.64	2.61	7.72	3.73
1297	3.47	1.85	2.11	1.04	1.03	3.75	1.33	5.86	11.39	1.8
1298	5.37	6.71	2.88	4.37	5.67	1.18	2.62	1.99	3.51	3.4
1299	3.93	2.7	18.77	25.59	31.97	6.43	1.35	1.71	2.01	2.46
1300	0.9	17.65	24.55	26.93	1.61	14.93	1.78	18.35	2	1.5
1301	7.66	21.38	1.37	7.77	2.75	2.06	15.7	1.22	1.15	1.91
1302	1.75	1.69	3.23	29.94	9.96	22.18	2.16	21.45	27.26	2.81
1303	1.92	28.14	9.49	6.07	3.33	1	27.53	1.9	14.81	16.9
1304	32.29	5.43	10.57	19.48	5.8	2.84	6.71	11.23	8.16	13.93
1305	28.9	9.69	1.39	5.16	1.27	2.83	3.69	5.41	12.16	2.03
1306	12.04	25.65	1.31	2.74	9.55	3.62	1.13	1.27	13.67	1.25
1307	1.51	1.63	5.8	2.38	3.81	6.12	12.72	25.94	2.49	18.65
1308	6.34	2.04	13.23	5.79	10.18	1.35	1.23	1.29	6.14	5.01
1309	8.98	24.31	4.47	3.25	8.76	17.71	1.94	7.22	2.73	30.14
1310	4.04	25.16	6.05	3.91	5.09	20.77	6.85	15.78	23.02	2.79
1311	0.94	7.16	2.8	5.49	3.57	4.35	4.94	2.74	5.65	4.4
1312	3.57	2.42	1.97	11.33	16.89	23.39	1.48	7.44	3.58	9.24
1313	5.64	3.28	6.3	23.62	1.39	15.09	2.34	8.12	4.64	4.77
1314	11.15	11.62	4.51	3.75	4.98	10.45	2	24.34	21.63	2.19
1315	11.13	1.68	1.68	2.84	9.57	1.85	3.19	13.07	5.24	1.33
1316	14.62	23.08	24.31	27.03	4.62	21.44	2.4	2.12	29.21	3.61
1317	1.81	1.59	10.1	1.63	11.08	27.22	5.23	13.26	25.57	10.42
1318	1.98	3.38	6.22	24.49	8.84	22.87	18.46	30.76	4.83	2.51
1319	14.57	1.94	26.3	10.92	28.94	28.4	28.39	4.63	1.16	17
1320	4.76	2.43	14.37	19.95	29.77	3.7	21.14	17.68	1.23	1.33
1321	8.88	1.6	3.7	8.46	7.35	1.76	12.55	5.75	7.57	3.8
1322	1.37	15.79	10.82	11.51	3.62	1.65	1.68	3.37	1.8	4.45
1323	20.98	31.48	15.28	31.1	1.2	29.27	6.72	2.65	16.98	6.58
1324	3.31	3.99	5.7	14.04	1.62	4.56	11.45	4.41	15.22	28.45
1325	2.32	28.65	1.48	9.92	2.8	26.73	18.38	3.29	15.81	3.47
1326	12.44	11.31	26.23	2.29	14.08	1.98	20.4	23.73	18.71	11.93
1327	1.61	1.65	1.1	25.23	4.7	15.81	19.35	8.72	1.08	8.46
